1,17.14.11
2,17.15.11
3,17.16.11
4,17.17.11
5,17.18.11
6,17.19.11
7,17.20.11
8,17.21.11
9,17.22.11
10,17.23.11
11,17.24.11
12,17.25.11
13,17.26.11
14,17.27.11
15,17.28.11
16,17.29.11
17,17.30.11
18,17.01.12
19,17.02.12
20,17.03.12
21,17.04.12
22,17.05.12
23,17.06.12
24,17.07.12
25,17.08.12
26,17.09.12
27,17.10.12
28,17.11.12
29,17.12.12
30,17.13.12
31,17.14.12
32,17.15.12
33,17.16.12
34,17.17.12
35,17.18.12
36,17.19.12
37,17.20.12
38,17.21.12
39,17.22.12
40,17.23.12
41,17.24.12
42,17.25.12
43,17.26.12
44,17.27.12
45,17.28.12
46,17.29.12
47,17.30.12
48,17.31.12
49,18.01.01
50,18.02.01
51,18.03.01
52,18.04.01
53,18.05.01
54,18.06.01
55,18.07.01
56,18.08.01
57,18.09.01
58,18.12.01
59,18.13.01
60,18.14.01
61,18.15.01
62,18.16.01
63,18.17.01
64,18.18.01
65,18.19.01
66,18.20.01
67,18.21.01
68,18.22.01
69,18.23.01
70,18.24.01
71,18.25.01
72,18.26.01
73,18.27.01
74,18.28.01
75,18.29.01
76,18.30.01
77,18.31.01
78,18.01.02
79,18.02.02
80,18.03.02
81,18.04.02
82,18.05.02
83,18.06.02
84,18.07.02
85,18.08.02
86,18.09.02
87,18.10.02
88,18.11.02
89,18.12.02
90,18.13.02
91,18.14.02
92,18.15.02
93,18.16.02
94,18.17.02
95,18.18.02
96,18.19.02
97,18.20.02
98,18.21.02
99,18.22.02
100,18.23.02
101,18.24.02
102,18.25.02
103,18.26.02
104,18.27.02
105,18.28.02
106,18.01.03
107,18.02.03
108,18.03.03
109,18.04.03
110,18.05.03
111,18.06.03
112,18.07.03
113,18.08.03
114,18.09.03
115,18.10.03
116,18.11.03
117,18.12.03
118,18.13.03
119,18.14.03
120,18.15.03
121,18.16.03
122,18.17.03
123,18.18.03
124,18.19.03
125,18.20.03
126,18.21.03
127,18.22.03
128,18.23.03
129,18.24.03
130,18.25.03
131,18.26.03
132,18.27.03
133,18.28.03
134,18.29.03
135,18.30.03
136,18.31.03
137,18.01.04
138,18.02.04
139,18.03.04
140,18.04.04
141,18.05.04
142,18.06.04
143,18.07.04
144,18.14.04
145,18.15.04
146,18.16.04
147,18.17.04
148,18.18.04
149,18.19.04
150,18.20.04
151,18.21.04
152,18.22.04
153,18.23.04
154,18.24.04
155,18.25.04
156,18.26.04
157,18.27.04
158,18.28.04
159,18.29.04
160,18.30.04
161,18.01.05
162,18.02.05
163,18.03.05
164,18.04.05
165,18.05.05
166,18.06.05
167,18.07.05
168,18.08.05
169,18.09.05
170,18.10.05
171,18.11.05
172,18.12.05
173,18.13.05
174,18.14.05
175,18.15.05
176,18.16.05
177,18.17.05
178,18.18.05
179,18.19.05
180,18.20.05
181,18.21.05
182,18.22.05
183,18.23.05
184,18.24.05
185,18.25.05
186,18.26.05
187,18.27.05
188,18.28.05
189,18.29.05
190,18.30.05
191,18.31.05
192,18.01.06
193,18.02.06
194,18.03.06
195,18.04.06
196,18.05.06
197,18.06.06
198,18.07.06
199,18.08.06
200,18.09.06
201,18.10.06
202,18.11.06
203,18.12.06
204,18.13.06
205,18.14.06
